level,line,short,Group,Belgium,Czechia,International markets,Group Centre
1,Net interest income,Interests,"1,379",831,323,317,-92
1,Insurance revenues before reinsurance,Insurace,726,445,144,133,4
2,Non-life,Non-life,613,371,119,119,4
2,Life,Life,114,74,25,15,0
1,Dividend income,Dividends,26,24,1,0,1
1,Net result from financial instruments at fair value through profit or loss & Insurance finance income and expense (for contracts issued),Financial Instruments,3,-64,10,14,42
1,Net fee and commission income,Fees,623,409,84,131,-1
1,Net other income,Other,51,46,-1,9,-3
0,TOTAL INCOME,TOTAL INCOME,"2,809","1,692",561,605,-49
1,Operating expenses (excluding directly attributable from insurance),Opex,-950,-503,-196,-215,-36
2,Total Opex without banking and insurance tax,without Tax,"-1,074",-609,-221,-207,-37
2,Total banking and insurance tax ,Tax,-2,32,-3,-32,0
2,Minus: Opex allocated to insurance service expenses,Minus Insurance,126,73,27,25,1
1,Insurance service expenses before reinsurance,Insurace,-590,-363,-104,-121,-1
2,Of which Insurance commissions paid,,-92,-59,-16,-17,0
2,Non-Life,Non-life,-514,-311,-91,-111,-1
3,of which Non-Life - Claim related expenses,,-331,-210,-53,-67,-1
2,Life,Life,-76,-53,-12,-11,0
1,Net result from reinsurance contracts held,Reinsurance,-24,-9,-6,-3,-6
1,Impairment,Impairment,-85,-123,41,-3,1
2,on FA at amortised cost and at FVOCI,on FA,-72,-122,41,9,1
2,on goodwill,Goodwill,0,0,0,0,0
2,other,other,-13,-1,-1,-11,0
1,Share in results of associated companies and joint ventures,Shares,2,1,0,0,0
0,RESULT BEFORE TAX,RESULT BEFORE TAX,"1,162",694,297,263,-92
1,Income tax expense,Income tax,-237,-176,-52,-39,30
0,RESULT AFTER TAX,RESULT AFTER TAX,925,518,244,224,-61
